src,des,size,timestamp
172.16.1.15,112.48.151.253,88,1590028018.612721
172.16.1.15,117.169.15.124,96,1590028018.616460
117.169.15.124,172.16.1.15,1568,1590028018.622728
117.169.15.124,172.16.1.15,1568,1590028018.625883
172.16.1.15,117.169.15.124,96,1590028018.629843
117.169.15.124,172.16.1.15,1568,1590028018.639232
117.169.15.124,172.16.1.15,1568,1590028018.651003
172.16.1.15,117.169.15.124,96,1590028018.674217
117.169.15.124,172.16.1.15,1568,1590028018.676751
117.169.15.124,172.16.1.15,1568,1590028018.685897
172.16.1.15,117.169.15.124,96,1590028018.690354
117.169.15.124,172.16.1.15,1568,1590028018.695947
117.169.15.124,172.16.1.15,1568,1590028018.701327
172.16.1.15,117.169.15.124,96,1590028018.712582
117.169.15.124,172.16.1.15,1568,1590028018.715962
117.169.15.124,172.16.1.15,1568,1590028018.719330
172.16.1.15,117.169.15.124,96,1590028018.722645
117.169.15.124,172.16.1.15,1568,1590028018.732678
117.169.15.124,172.16.1.15,1568,1590028018.735920
172.16.1.15,117.169.15.124,96,1590028018.743519
117.169.15.124,172.16.1.15,1568,1590028018.746437
117.169.15.124,172.16.1.15,1568,1590028018.755994
172.16.1.15,117.169.15.124,96,1590028018.762679
117.169.15.124,172.16.1.15,1568,1590028018.765968
117.169.15.124,172.16.1.15,1568,1590028018.773555
172.16.1.15,117.169.15.124,96,1590028018.776339
117.169.15.124,172.16.1.15,1568,1590028018.779360
117.169.15.124,172.16.1.15,1568,1590028018.782590
172.16.1.15,117.169.15.124,96,1590028018.789604
117.169.15.124,172.16.1.15,1568,1590028018.792591
117.169.15.124,172.16.1.15,1568,1590028018.796091
172.16.1.15,117.169.15.124,96,1590028018.801017
117.169.15.124,172.16.1.15,1568,1590028018.806720
117.169.15.124,172.16.1.15,1568,1590028018.809641
172.16.1.15,117.169.15.124,96,1590028018.816142
117.169.15.124,172.16.1.15,1568,1590028018.819337
117.169.15.124,172.16.1.15,1568,1590028018.829268
172.16.1.15,117.169.15.124,96,1590028018.835921
117.169.15.124,172.16.1.15,1568,1590028018.842585
117.169.15.124,172.16.1.15,1568,1590028018.855157
172.16.1.15,117.169.15.124,96,1590028018.856335
117.169.15.124,172.16.1.15,1568,1590028018.859258
117.169.15.124,172.16.1.15,1568,1590028018.862885
172.16.1.15,117.169.15.124,96,1590028018.871515
117.169.15.124,172.16.1.15,1568,1590028018.875685
117.169.15.124,172.16.1.15,1568,1590028018.879438
172.16.1.15,117.169.15.124,96,1590028018.882837
117.169.15.124,172.16.1.15,1568,1590028018.892720
117.169.15.124,172.16.1.15,1568,1590028018.897673
172.16.1.15,117.169.15.124,96,1590028018.916235
117.169.15.124,172.16.1.15,1568,1590028018.921266
117.169.15.124,172.16.1.15,1568,1590028018.929275
172.16.1.15,117.169.15.124,96,1590028018.935974
117.169.15.124,172.16.1.15,1568,1590028018.942908
117.169.15.124,172.16.1.15,1568,1590028018.959392
172.16.1.15,117.169.15.124,96,1590028018.966055
117.169.15.124,172.16.1.15,1568,1590028018.969411
117.169.15.124,172.16.1.15,1568,1590028018.972553
172.16.1.15,117.169.15.124,96,1590028018.983438
117.169.15.124,172.16.1.15,1568,1590028018.990001
117.169.15.124,172.16.1.15,1568,1590028018.996129
172.16.1.15,117.169.15.124,96,1590028019.876400
117.169.15.124,172.16.1.15,1568,1590028019.109730
117.169.15.124,172.16.1.15,1568,1590028019.126420
172.16.1.15,117.169.15.124,96,1590028019.159370
117.169.15.124,172.16.1.15,1568,1590028019.193740
117.169.15.124,172.16.1.15,1568,1590028019.259320
172.16.1.15,117.169.15.124,96,1590028019.295590
117.169.15.124,172.16.1.15,1568,1590028019.329850
117.169.15.124,172.16.1.15,1568,1590028019.394510
172.16.1.15,117.169.15.124,96,1590028019.433310
117.169.15.124,172.16.1.15,1568,1590028019.459230
117.169.15.124,172.16.1.15,1568,1590028019.535810
172.16.1.15,117.169.15.124,96,1590028019.592600
117.169.15.124,172.16.1.15,1568,1590028019.625960
117.169.15.124,172.16.1.15,1568,1590028019.662810
172.16.1.15,117.169.15.124,96,1590028019.725510
117.169.15.124,172.16.1.15,1568,1590028019.759080
117.169.15.124,172.16.1.15,1568,1590028019.792420
172.16.1.15,117.169.15.124,96,1590028019.826260
117.169.15.124,172.16.1.15,1568,1590028019.860260
117.169.15.124,172.16.1.15,1568,1590028019.925400
172.16.1.15,117.169.15.124,96,1590028019.959520
117.169.15.124,172.16.1.15,1568,1590028019.993550
117.169.15.124,172.16.1.15,1568,1590028019.994030
172.16.1.15,117.169.15.124,96,1590028019.994170
117.169.15.124,172.16.1.15,1568,1590028019.994300
117.169.15.124,172.16.1.15,1568,1590028019.994420
172.16.1.15,117.169.15.124,96,1590028019.994600
117.169.15.124,172.16.1.15,1568,1590028019.996100
117.169.15.124,172.16.1.15,1568,1590028019.996230
172.16.1.15,117.169.15.124,96,1590028019.996410
117.169.15.124,172.16.1.15,1568,1590028019.996550
117.169.15.124,172.16.1.15,1568,1590028019.996660
172.16.1.15,117.169.15.124,96,1590028019.996780
117.169.15.124,172.16.1.15,1568,1590028019.996910
117.169.15.124,172.16.1.15,1568,1590028019.997090
172.16.1.15,117.169.15.124,96,1590028019.997210
117.169.15.124,172.16.1.15,1568,1590028019.997340
117.169.15.124,172.16.1.15,620,1590028019.997520
172.16.1.15,117.169.15.124,96,1590028019.997680
172.16.1.15,203.119.144.29,592,1590028019.105724
203.119.144.29,172.16.1.15,148,1590028019.105759
172.16.1.15,203.119.144.29,2016,1590028019.105771
203.119.144.29,172.16.1.15,148,1590028019.105819
203.119.144.29,172.16.1.15,148,1590028019.105831
172.16.1.15,112.48.151.253,192,1590028019.105904
112.48.151.253,172.16.1.15,148,1590028019.105926
172.16.1.15,112.48.151.253,224,1590028019.105938
112.48.151.253,172.16.1.15,148,1590028019.148835
112.48.151.253,172.16.1.15,1532,1590028019.149670
172.16.1.15,112.48.151.253,88,1590028019.153550
203.119.144.29,172.16.1.15,1260,1590028019.155902
172.16.1.15,203.119.144.29,88,1590028019.159194
112.48.151.253,172.16.1.15,1172,1590028019.212819
172.16.1.15,112.48.151.253,88,1590028019.219601
112.48.151.253,172.16.1.15,700,1590028019.222912
172.16.1.15,112.48.151.253,88,1590028019.226340
172.16.1.15,112.48.151.253,192,1590028019.233760
112.48.151.253,172.16.1.15,148,1590028019.239322
112.48.151.253,172.16.1.15,1468,1590028019.298713
172.16.1.15,112.48.151.253,192,1590028019.300500
112.48.151.253,172.16.1.15,148,1590028019.306330
172.16.1.15,112.48.151.253,192,1590028019.312716
112.48.151.253,172.16.1.15,148,1590028019.326049
112.48.151.253,172.16.1.15,908,1590028019.329279
112.48.151.253,172.16.1.15,1568,1590028019.347789
172.16.1.15,112.48.151.253,88,1590028019.349532
112.48.151.253,172.16.1.15,288,1590028019.353783
172.16.1.15,112.48.151.253,192,1590028019.357056
112.48.151.253,172.16.1.15,148,1590028019.359575
172.16.1.15,112.48.151.253,192,1590028019.362961
112.48.151.253,172.16.1.15,148,1590028019.365895
112.48.151.253,172.16.1.15,1356,1590028019.397778
112.48.151.253,172.16.1.15,1436,1590028019.402861
172.16.1.15,112.48.151.253,88,1590028019.411520
172.16.1.15,112.48.151.253,192,1590028019.413088
112.48.151.253,172.16.1.15,148,1590028019.416238
112.48.151.253,172.16.1.15,1148,1590028019.468822
172.16.1.15,112.48.151.253,192,1590028019.476626
112.48.151.253,172.16.1.15,148,1590028019.480087
172.16.1.15,112.48.151.253,192,1590028019.485929
112.48.151.253,172.16.1.15,148,1590028019.490022
112.48.151.253,172.16.1.15,1568,1590028019.492818
112.48.151.253,172.16.1.15,904,1590028019.522394
172.16.1.15,112.48.151.253,88,1590028019.529282
172.16.1.15,112.48.151.253,192,1590028019.532607
112.48.151.253,172.16.1.15,148,1590028019.535925
172.16.1.15,112.48.151.253,192,1590028019.543362
112.48.151.253,172.16.1.15,148,1590028019.545972
112.48.151.253,172.16.1.15,1568,1590028019.554276
112.48.151.253,172.16.1.15,168,1590028019.557477
172.16.1.15,112.48.151.253,88,1590028019.559422
112.48.151.253,172.16.1.15,172,1590028019.566072
112.48.151.253,172.16.1.15,1568,1590028019.569735
172.16.1.15,112.48.151.253,88,1590028019.572963
112.48.151.253,172.16.1.15,496,1590028019.575924
172.16.1.15,112.48.151.253,192,1590028019.582910
112.48.151.253,172.16.1.15,148,1590028019.588851
39.156.81.172,172.16.1.15,704,1590028019.589349
172.16.1.15,39.156.81.172,96,1590028019.593246
112.48.151.253,172.16.1.15,940,1590028019.700835
172.16.1.15,112.48.151.253,88,1590028019.702649
172.16.1.15,112.48.151.253,192,1590028019.706004
112.48.151.253,172.16.1.15,148,1590028019.709386
112.48.151.253,172.16.1.15,892,1590028019.713236
172.16.1.15,112.48.151.253,88,1590028019.718050
172.16.1.15,112.48.151.253,192,1590028019.722702
112.48.151.253,172.16.1.15,148,1590028019.729587
172.16.1.15,106.11.93.24,116,1590028019.732552
106.11.93.24,172.16.1.15,152,1590028019.735949
172.16.1.15,106.11.93.24,96,1590028019.743234
172.16.1.15,112.48.151.253,192,1590028019.746111
112.48.151.253,172.16.1.15,148,1590028019.749203
172.16.1.15,106.11.93.24,96,1590028019.752585
106.11.93.24,172.16.1.15,132,1590028019.806858
112.48.151.253,172.16.1.15,1532,1590028019.843795
106.11.93.24,172.16.1.15,132,1590028019.845994
172.16.1.15,106.11.93.24,72,1590028019.852670
112.48.151.253,172.16.1.15,1476,1590028019.855994
172.16.1.15,112.48.151.253,88,1590028019.862809
112.48.151.253,172.16.1.15,172,1590028019.866250
172.16.1.15,112.48.151.253,88,1590028019.869234
172.16.1.15,106.11.93.24,116,1590028019.875441
172.16.1.15,112.48.151.253,192,1590028019.875959
